iter	Passed	Remaining
540	3732	3166
541	3738	3159
542	3743	3150
543	3750	3143
544	3755	3135
545	3762	3128
546	3767	3120
547	3772	3111
548	3777	3103
549	3783	3095
550	3788	3087
551	3794	3079
552	3799	3071
553	3804	3063
554	3810	3054
555	3815	3046
556	3820	3038
557	3825	3030
558	3831	3022
559	3836	3014
560	3841	3006
561	3846	2997
562	3851	2989
563	3857	2981
564	3862	2973
565	3867	2965
566	3873	2957
567	3878	2949
568	3883	2941
569	3888	2933
570	3895	2926
571	3902	2919
572	3908	2912
573	3915	2905
574	3924	2900
575	3929	2892
576	3935	2885
577	3940	2877
578	3945	2869
579	3951	2861
580	3956	2853
581	3961	2845
582	3966	2837
583	3972	2829
584	3977	2821
585	3982	2813
586	3987	2805
587	3993	2797
588	4002	2792
589	4007	2784
590	4012	2777
591	4018	2769
592	4023	2761
593	4028	2753
594	4033	2745
595	4039	2738
596	4044	2730
597	4049	2722
598	4055	2714
599	4060	2707
600	4065	2699
601	4071	2691
602	4076	2683
603	4081	2676
604	4087	2668
605	4094	2662
606	4101	2655
607	4107	2648
608	4114	2641
609	4121	2635
610	4127	2627
611	4132	2620
612	4137	2612
613	4143	2604
614	4148	2596
615	4153	2589
616	4159	2581
617	4164	2574
618	4169	2566
619	4175	2558
620	4180	2551
621	4185	2543
622	4190	2535
623	4196	2528
624	4201	2520
625	4206	2513
626	4212	2505
627	4217	2498
628	4222	2490
629	4228	2483
630	4233	2475
631	4238	2468
632	4244	2460
633	4249	2453
634	4254	2445
635	4259	2438
636	4265	2430
637	4270	2423
638	4275	2415
639	4280	2408
640	4286	2400
641	4291	2392
642	4296	2385
643	4302	2378
644	4308	2371
645	4315	2364
646	4323	2358
647	4328	2351
648	4333	2343
649	4339	2336
650	4344	2329
651	4350	2321
652	4355	2314
653	4360	2307
654	4366	2299
655	4371	2292
656	4376	2285
657	4382	2277
658	4387	2270
659	4392	2262
660	4397	2255
661	4402	2247
662	4407	2240
663	4412	2233
664	4418	2225
665	4423	2218
666	4428	2211
667	4434	2203
668	4439	2196
669	4444	2189
670	4449	2181
671	4455	2174
672	4460	2167
673	4465	2160
674	4471	2152
675	4476	2145
676	4481	2138
677	4487	2131
678	4492	2123
679	4497	2116
680	4504	2109
681	4510	2103
682	4517	2096
683	4524	2090
684	4530	2083
685	4535	2076
686	4540	2068
687	4546	2061
688	4551	2054
689	4556	2047
690	4561	2039
691	4567	2032
692	4572	2025
693	4577	2018
694	4584	2011
695	4589	2004
696	4594	1997
697	4600	1990
698	4605	1983
699	4611	1976
700	4616	1969
701	4621	1962
702	4628	1955
703	4633	1948
704	4638	1941
705	4644	1934
706	4649	1926
707	4654	1919
708	4659	1912
709	4665	1905
710	4670	1898
711	4675	1891
712	4680	1884
713	4685	1876
714	4693	1870
715	4698	1863
716	4705	1857
717	4711	1850
718	4717	1843
719	4725	1837
720	4730	1830
721	4736	1823
722	4741	1816
723	4747	1809
724	4752	1802
725	4757	1795
726	4763	1788
727	4768	1781
728	4773	1774
729	4778	1767
730	4784	1760
731	4789	1753
732	4794	1746
733	4799	1739
734	4805	1732
735	4810	1725
736	4815	1718
737	4820	1711
738	4826	1704
739	4831	1697
740	4836	1690
741	4842	1683
742	4847	1676
743	4852	1669
744	4857	1662
745	4862	1655
746	4868	1648
747	4873	1641
748	4878	1634
749	4883	1627
750	4889	1621
751	4895	1614
752	4902	1608
753	4909	1601
754	4917	1595
755	4923	1589
756	4931	1583
757	4937	1576
758	4943	1569
759	4950	1563
760	4956	1556
761	4962	1549
762	4968	1543
763	4974	1536
764	4980	1529
765	4986	1523
766	4992	1516
767	4997	1509
768	5003	1503
769	5009	1496
770	5015	1489
771	5021	1483
772	5027	1476
773	5034	1469
774	5039	1463
775	5045	1456
776	5052	1449
777	5058	1443
778	5064	1436
779	5070	1430
780	5077	1423
781	5086	1417
782	5092	1411
783	5099	1404
784	5106	1398
785	5113	1392
786	5120	1385
787	5129	1379
788	5134	1373
789	5140	1366
790	5147	1360
791	5153	1353
792	5159	1346
793	5164	1339
794	5169	1333
795	5175	1326
796	5180	1319
797	5185	1312
798	5191	1305
799	5196	1299
800	5201	1292
801	5206	1285
802	5211	1278
803	5217	1271
804	5222	1265
805	5227	1258
806	5232	1251
807	5238	1244
808	5243	1237
809	5248	1231
810	5253	1224
811	5259	1217
812	5264	1210
